Chr	Start	End	ENSGID	Gene	HI	TS	GHIS	Episcores	LOEUF	pLI	Morbid_gene	OMIM_gene	Zscore_gene
chr1	69091	70008	ENSG00000186092	OR4F5	NA	NA	NA	0.000583333	1.76	0.38	0	0	0.79
chr1	367640	368634	ENSG00000235249	OR4F29	NA	NA	0.393712167	0.000583333	NA	NA	0	0	NA
chr1	621059	622053	ENSG00000185097	OR4F16	NA	NA	0.393712167	5.00E-04	NA	NA	0	0	NA
chr1	860260	879955	ENSG00000187634	SAMD11	NA	NA	NA	0.591833333	1.28	0.00	0	1	-3.44
chr1	879584	894689	ENSG00000188976	NOC2L	NA	NA	0.526388187	0.234066667	1.33	0.00	0	1	-1.90
chr1	895967	901095	ENSG00000187961	KLHL17	NA	NA	0.641794967	0.241133333	1.26	0.00	0	1	-0.57
chr1	901877	911245	ENSG00000187583	PLEKHN1	NA	NA	0.546707473	0.1852	1.12	0.00	0	0	-1.80
chr1	910579	917497	ENSG00000187642	C1orf170	NA	NA	0.551744031	0.215466667	1.69	0.00	0	1	-0.56
chr1	934342	935552	ENSG00000188290	HES4	NA	NA	0.480431284	0.64945	1.95	0.00	0	1	-0.47
chr1	948803	949920	ENSG00000187608	ISG15	NA	NA	0.510442854	0.201533333	1.69	0.41	1	1	-0.04
chr1	955503	991496	ENSG00000188157	AGRN	30	0	0.573494831	0.28695	0.43	0.00	1	1	0.23
chr1	1006346	1009687	ENSG00000237330	RNF223	NA	NA	0.443129556	0.06545	1.87	0.03	0	0	-0.55
chr1	1017198	1051741	ENSG00000131591	C1orf159	NA	NA	0.530395714	0.109916667	1.30	0.00	0	0	0.53
chr1	1108436	1114935	ENSG00000205231	TTLL10-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	1109264	1133315	ENSG00000162571	TTLL10	30	0	NA	0.295616667	1.13	0.00	1	1	0.33
chr1	1138888	1142071	ENSG00000186891	TNFRSF18	NA	NA	NA	0.1117	1.88	0.00	0	1	-0.57
chr1	1146706	1149518	ENSG00000186827	TNFRSF4	NA	NA	NA	0.108483333	1.32	0.00	1	1	0.62
chr1	1152288	1167411	ENSG00000078808	SDF4	NA	NA	0.585766194	0.253516667	0.76	0.01	0	1	0.55
chr1	1167629	1170421	ENSG00000176022	B3GALT6	30	0	0.526344703	0.223566667	1.43	0.02	1	1	1.26
chr1	1177826	1182102	ENSG00000184163	FAM132A	NA	NA	0.405869786	0.03575	1.64	0.00	0	1	-0.25
chr1	1189289	1209265	ENSG00000160087	UBE2J2	NA	NA	0.656144806	0.216133333	0.39	0.91	0	1	1.79
chr1	1215816	1227409	ENSG00000162572	SCNN1D	NA	NA	0.419153175	0.158583333	1.59	0.00	0	1	-0.78
chr1	1227756	1244989	ENSG00000131584	ACAP3	NA	NA	0.590985581	0.419616667	0.59	0.00	0	0	1.67
chr1	1243947	1247057	ENSG00000169972	PUSL1	NA	NA	0.489182518	0.36215	1.98	0.00	0	0	-1.44
chr1	1246965	1260071	ENSG00000127054	CPSF3L	NA	NA	0.630288585	0.111966667	0.99	0.00	0	1	0.54
chr1	1260136	1264277	ENSG00000224051	GLTPD1	NA	NA	0.444115382	0.1032	1.43	0.02	0	1	-0.09
chr1	1266694	1270686	ENSG00000169962	TAS1R3	NA	NA	0.417442557	0.14475	1.56	0.00	0	1	-2.38
chr1	1270656	1284730	ENSG00000107404	DVL1	NA	NA	0.550636307	0.285	0.73	0.00	1	1	-1.13
chr1	1288069	1297157	ENSG00000162576	MXRA8	NA	NA	0.632876714	0.357916667	1.13	0.00	0	1	1.05
chr1	1309110	1310875	ENSG00000175756	AURKAIP1	NA	NA	0.524644878	0.167733333	1.77	0.00	1	1	-0.03
chr1	1321091	1334708	ENSG00000221978	CCNL2	NA	NA	0.522910279	0.321466667	0.47	0.16	0	1	0.54
chr1	1337288	1342693	ENSG00000242485	MRPL20	NA	NA	0.576512261	0.415116667	1.82	0.00	0	1	-0.83
chr1	1353800	1357149	ENSG00000235098	ANKRD65	NA	NA	0.609607652	0.304966667	1.96	0.00	0	0	0.59
chr1	1361508	1363167	ENSG00000205116	TMEM88B	NA	NA	0.465373082	0.30635	1.60	0.43	0	0	-0.60
chr1	1370241	1378262	ENSG00000179403	VWA1	NA	NA	0.603877676	0.44245	1.07	0.01	0	1	-0.15
chr1	1385069	1405538	ENSG00000215915	ATAD3C	NA	NA	0.429991933	0.011983333	1.17	0.00	0	1	-0.82
chr1	1407143	1433228	ENSG00000160072	ATAD3B	NA	NA	0.416447563	0.193716667	1.48	0.00	0	1	-2.79
chr1	1447531	1470067	ENSG00000197785	ATAD3A	NA	NA	0.518382566	0.117633333	0.83	0.00	1	1	0.01
chr1	1470554	1475833	ENSG00000205090	TMEM240	NA	NA	0.3996761	0.08625	0.87	0.23	1	1	1.55
